Port #,Label,Wired?,Location,Connected to,Status,Notes,Provision,,,,
,,,,,,,,,WAN-EOC1,ADTRAN,LAN B2?
1,C11,poe,7th West W,LAN,good,1,,,,,WAN DMZ
2,C12,,?,,,,,,,,
3,C21,printer,7th East S R,LAN,good,,,,,,
4,C22,,7th East S L,LAN,,,,,,,
5,C31,printer,Staff Lounge W,LAN,good,,,,,,
6,C32,,?,,blank,,,,,,
7,C71,,Advancement N UL,PHONE,good,ul,,,,,
8,C72,,Advancement N UR,LAN,Bad Port,ur,,,,,
9,C73,,Advancement N LL,LAN,Bad Port,ll,,,,,
10,C74,,Advancement N LR,LAN,good,lr,,,,,
11,C41,poe,5th N U,LAN,good,1 top,,,,,
12,C42,printer,5th N L,LAN,good,2 bootom,need 3' blue,,,,
13,C61,,FAX Line 329-1580,Needed?,,,,,,,
14,C62,,Phone Blocks?,?,,,,,,,
15,R1,iMac,Front Desk,LAN,good,,,,,,
16,R2,printer,Front Desk,LAN,good,socket loose,,,,,
17,O11,printer,Dean Students R,LAN,good,,,,,,
18,O12,imac,Dean Students L,LAN,good,,,,,,
19,O21,poe,Student Lounge,LAN,good,,,,,,
20,O22,printer,Student Lounge,LAN,good,,need 3' blue,,,,
21,C51,imac,Dir Dev L,LAN,good,,,,,,
22,C52,printer,Dir Dev R,LAN,good,,,,,,
23,B2,,to B2 Port Building Two,ADTRAN,Should be LAN? Runs 100 Mode,,,,,,
24,B1,,to B1 Port Building Two,LAN,Crossover? Should be 1234 tests 1324,,need 3' white,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,red 7',,,,
,,,,,,,blue 3',,,,
