Port #,Wired?,Location,Connected to,Comments,,Port #,Wired?,Location,Connected to,Comments
,,,,,,,,,,
1,,Stairs N,,,,25,,8th Lab E,,
2,,Stairs N,,,,26,,8th Lab E,,
3,,6th N W,,,,27,,8th Lab S,,
4,,6th N W,,,,28,,8th Lab S,,
5,,6th N N,,,,29,,8th Library W,,
6,,6th N N,,,,30,,8th Library W,,
7,,6th N S,,,,31,,8th Library N,,
8,,6th N S,,,,32,,8th Library N,,
9,,6th C W,,,,33,,8th Library E,,
10,,6th C W,,,,34,,8th Library E,,
11,,6th C N,,,,35,,Sally N,,
12,,6th C N,,,,36,,Sally N,,
13,,6th C E,,,,37,,Hannah E,,
14,,6th C E,,,,38,,Hannah E,,
15,,6th C S,,,,39,,,,
16,,6th C S,,,,40,,,,
17,,,,,,41,,,,
18,,,,,,42,,,,
19,,Community Room E,,,,43,,,,
20,,Community Room E,,,,44,,,,
21,,8th Lab W,,,,45,,6th N E,,
22,,8th Lab W,,,,46,,6th N E,,
23,,8th Lab N,,,,47,,,,
24,,8th Lab N,,,,48,,,,
